P -1562.0000, -266.0000, 0.0000,  255, 255, 255,  2,  Zone_Out
P -1669.1700, -276.0410, 209.5930,  0, 0, 0,  3,  Zone_In
P -1000.0000, -6522.0000, 0.0000,  1, 1, 1,  2,  1000
P 1000.0000, -6522.0000, 0.0000,  1, 1, 1,  2,  -1000
P 2000.0000, -6522.0000, 0.0000,  1, 1, 1,  2,  -2000
P 3000.0000, -6522.0000, 0.0000,  1, 1, 1,  2,  -3000
P 4000.0000, -6522.0000, 0.0000,  1, 1, 1,  2,  -4000
P 5000.0000, -6522.0000, 0.0000,  1, 1, 1,  2,  -5000
P -1951.0000, -1010.0000, 0.0000,  1, 1, 1,  2,  1000
P -1951.0000, -2010.0000, 0.0000,  1, 1, 1,  2,  2000
P -1951.0000, -3010.0000, 0.0000,  1, 1, 1,  2,  3000
P -1951.0000, -4010.0000, 0.0000,  1, 1, 1,  2,  4000
P -1951.0000, -5010.0000, 0.0000,  1, 1, 1,  2,  5000
P -1951.0000, -6010.0000, 0.0000,  1, 1, 1,  2,  6000
P -1951.0000, 990.0000, 0.0000,  1, 1, 1,  2,  -1000
P -1951.0000, 1990.0000, 0.0000,  1, 1, 1,  2,  -2000
P -1951.0000, 2990.0000, 0.0000,  1, 1, 1,  2,  -3000
P -1951.0000, 3990.0000, 0.0000,  1, 1, 1,  2,  -4000
