P 3926.0000, 4952.0000, 0.0000,  255, 255, 255,  2,  Siren's_Grotto
P -556.0000, 2774.0000, 0.0000,  255, 255, 255,  2,  Necropolis
P -761.0000, -1466.0000, 0.0000,  255, 255, 255,  2,  Temple_of_Veeshan
P 3499.0000, 4099.0000, 0.0000,  255, 255, 255,  2,  Succor_Point
P 2000.0000, -4835.0000, 0.0000,  1, 1, 1,  2,  -2000
P 1000.0000, -4835.0000, 0.0000,  1, 1, 1,  2,  -1000
P 3000.0000, -4835.0000, 0.0000,  1, 1, 1,  2,  -3000
P -5000.0000, -4835.0000, 0.0000,  1, 1, 1,  2,  5000
P -4000.0000, -4835.0000, 0.0000,  1, 1, 1,  2,  4000
P -3000.0000, -4835.0000, 0.0000,  1, 1, 1,  2,  3000
P -2000.0000, -4835.0000, 0.0000,  1, 1, 1,  2,  2000
P -1000.0000, -4835.0000, 0.0000,  1, 1, 1,  2,  1000
P 4000.0000, -4835.0000, 0.0000,  1, 1, 1,  2,  -4000
P -5144.0000, -1010.0000, 0.0000,  1, 1, 1,  2,  1000
P -5144.0000, -2010.0000, 0.0000,  1, 1, 1,  2,  2000
P -5144.0000, -3010.0000, 0.0000,  1, 1, 1,  2,  3000
P -5144.0000, -4010.0000, 0.0000,  1, 1, 1,  2,  4000
P -5144.0000, 990.0000, 0.0000,  1, 1, 1,  2,  -1000
P -5144.0000, 1990.0000, 0.0000,  1, 1, 1,  2,  -2000
P -5144.0000, 2990.0000, 0.0000,  1, 1, 1,  2,  -3000
P -5144.0000, 3990.0000, 0.0000,  1, 1, 1,  2,  -4000
P -5144.0000, 4990.0000, 0.0000,  1, 1, 1,  2,  -5000
