P -540.1943, -680.4356, 84.9596,  0, 0, 240,  2,  Glenfallow_Consecrated_Forge
P -1428.9015, -79.3022, 278.9195,  0, 240, 0,  2,  Loping_Plains
P 562.0000, -814.0000, -130.0000,  0, 0, 0,  2,  Waterpipe_of_Doom
P -100.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  100
P -200.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  200
P -300.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  300
P -400.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  400
P -500.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  500
P -600.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  600
P -700.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  700
P -800.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  800
P -900.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  900
P -1000.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  1000
P -1100.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  1100
P -1200.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  1200
P -1300.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  1300
P -1400.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  1400
P -1500.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  1500
P 100.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  -100
P 200.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  -200
P 300.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  -300
P 400.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  -400
P 500.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  -500
P 600.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  -600
P 700.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  -700
P 800.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  -800
P 900.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  -900
P 1000.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  -1000
P 1100.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  -1100
P 1200.0000, -1137.0000, 0.0000,  1, 1, 1,  2,  -1200
P -1547.0000, -110.0000, 0.0000,  1, 1, 1,  2,  100
P -1547.0000, -210.0000, 0.0000,  1, 1, 1,  2,  200
P -1547.0000, -310.0000, 0.0000,  1, 1, 1,  2,  300
P -1547.0000, -410.0000, 0.0000,  1, 1, 1,  2,  400
P -1547.0000, -510.0000, 0.0000,  1, 1, 1,  2,  500
P -1547.0000, -610.0000, 0.0000,  1, 1, 1,  2,  600
P -1547.0000, -710.0000, 0.0000,  1, 1, 1,  2,  700
P -1547.0000, -810.0000, 0.0000,  1, 1, 1,  2,  800
P -1547.0000, -910.0000, 0.0000,  1, 1, 1,  2,  900
P -1547.0000, -1010.0000, 0.0000,  1, 1, 1,  2,  1000
P -1547.0000, -1110.0000, 0.0000,  1, 1, 1,  2,  1100
